DATE,ID,security_name
2019-12-23,A UN Equity,Agilent Technologies Inc
2019-12-23,AAPL UW Equity,Apple Inc
2019-12-23,ABBV UN Equity,AbbVie Inc
2019-12-23,ABNB UW Equity,Airbnb Inc
2019-12-23,ABT UN Equity,Abbott Laboratories
2019-12-23,ACGL UW Equity,Arch Capital Group Ltd
2019-12-23,ACN UN Equity,Accenture PLC
2019-12-23,ADBE UW Equity,Adobe Inc
2019-12-23,ADI UW Equity,Analog Devices Inc
2019-12-23,ADM UN Equity,Archer-Daniels-Midland Co
2019-12-23,ADP UW Equity,Automatic Data Processing Inc
2019-12-23,ADSK UW Equity,Autodesk Inc
2019-12-23,AEE UN Equity,Ameren Corp
2019-12-23,AEP UW Equity,American Electric Power Co Inc
2019-12-23,AES UN Equity,AES Corp/The
2019-12-23,AFL UN Equity,Aflac Inc
2019-12-23,AIG UN Equity,American International Group I
2019-12-23,AIZ UN Equity,Assurant Inc
2019-12-23,AJG UN Equity,Arthur J Gallagher & Co
2019-12-23,AKAM UW Equity,Akamai Technologies Inc
2019-12-23,ALB UN Equity,Albemarle Corp
2019-12-23,ALGN UW Equity,Align Technology Inc
2019-12-23,ALL UN Equity,Allstate Corp/The
2019-12-23,ALLE UN Equity,Allegion plc
2019-12-23,AMAT UW Equity,Applied Materials Inc
2019-12-23,AMCR UN Equity,Amcor PLC
2019-12-23,AMD UW Equity,Advanced Micro Devices Inc
2019-12-23,AME UN Equity,AMETEK Inc
2019-12-23,AMGN UW Equity,Amgen Inc
2019-12-23,AMP UN Equity,Ameriprise Financial Inc
2019-12-23,AMT UN Equity,American Tower Corp
2019-12-23,AMZN UW Equity,Amazon.com Inc
2019-12-23,ANET UN Equity,Arista Networks Inc
2019-12-23,AON UN Equity,Aon PLC
2019-12-23,AOS UN Equity,A O Smith Corp
2019-12-23,APA UW Equity,APA Corp
2019-12-23,APD UN Equity,Air Products and Chemicals Inc
2019-12-23,APH UN Equity,Amphenol Corp
2019-12-23,APO UN Equity,Apollo Global Management Inc
2019-12-23,APP UW Equity,AppLovin Corp
2019-12-23,APTV UN Equity,Aptiv PLC
2019-12-23,ARE UN Equity,Alexandria Real Estate Equitie
2019-12-23,ATO UN Equity,Atmos Energy Corp
2019-12-23,AVB UN Equity,AvalonBay Communities Inc
2019-12-23,AVGO UW Equity,Broadcom Inc
2019-12-23,AVY UN Equity,Avery Dennison Corp
2019-12-23,AWK UN Equity,American Water Works Co Inc
